name,latitude,longitude
Paddington Subway Sta-London-W2 1HB,51.5166744,-0.1769328
Whitecross Street-London-EC1Y 8NX,51.5220227,-0.0924261
St Thomas St-London-SE1 9SP,51.5046742,-0.0860056
21 Station Street-London-E15 1DA,51.5416798,-0.0026537
Hartmann Road-London-E16 2PX,51.50397136,0.04858966
13 Hanover Square-London-W1S 1HN,51.5145178,-0.1439031
341 Kentish Town Road-London-NW5 2TJ,51.5505322,-0.1409513
Wilton Road-London-SW1V 1JU,51.49534556,-0.14390863
2-4 Circus Road-London-NW8 6PG,51.5339484,-0.1719342
65 Notting Hill Gate-London-W11 3JS,51.5088564,-0.1967248
231 Camden High Street-London-NW1 7BU,51.53996051,-0.14381393
143 Fleet Street-London-EC4Y 1HY,51.514351,-0.10709
62-63 Fenchurch Street-London-EC3M 4AQ,51.5121214,-0.079606
62-65 Trafalgar Square-London-WC2N 5DS,51.507312,-0.128631
55 Bishopsgate-London-EC2N 3AS,51.51536335,-0.08287081
Canada Square-London-E14 5NN,51.505043,-0.01904
31 Cavendish Square-London-W1G 0PW,51.5159343,-0.144358
136 Great Portland Street-London-W1W 6PY,51.52027748,-0.1425956
173 Victoria Street-London-SW1E 5NA,51.4963349,-0.1421851
5 Pall Mall East-London-SW1Y 5BA,51.5082321,-0.130062
132 Brompton Road-London-SW3 1HY,51.498756,-0.1657017
93-95 Victoria Street-London-SW1H 0HW,51.4973714,-0.1353875
Euston Road-London-NW1 3DP,51.52532627,-0.1392553
1 Commercial Street-London-E1 6BF,51.5153422,-0.07239432
117 Euston Road-London-NW1 2SX,51.528334,-0.1275658
244 Great Portland Street-London-W1W 5QX,51.5234251,-0.1438496
280 High Holborn-London-WC1V 7EE,51.51783126,-0.11594709
11-15 Borough High Street-London-SE1 9SE,51.50546333,-0.088767
Westferry Circus-London-E14 5NN,51.5066381,-0.0278379
40 Bernard Street-London-WC1N 1LE,51.5233079,-0.1248167
40 Vauxhall Bridge Road-London-SW1V 2RX,51.49033402,-0.13257288
77-80 Gracechurch Street-London-EC3V 0AS,51.51227866,-0.08466981
Unit 4-22 Elephant & Castle-London-SE1 6BH,51.49383,-0.10076
95 Farringdon Road-London-EC1R 3BT,51.5224201,-0.1075039
8B Leather Lane-London-EC1N 7RA,51.51858703,-0.10883632
40 Holborn Viaduct-London-EC1N 2PB,51.5179672,-0.1066159
11-13 Holborn Viaduct-London-EC1A 2AT,51.51661319,-0.1036033
80-82 Saint John's Road-London-SW11 1PX,51.4613402,-0.1674908
30 Gresham Street-London-EC2V 7PG,51.51481266,-0.09314772
9 Argyll Street-London-W1F 7TG,51.5147514,-0.1405998
Unit 3 Ropemaker Street-London-EC2Y 9AW,51.51945625,-0.0899641
High Road-London-N22 6YA,51.59443933,-0.1092647
54-60 York Way-London-N1 9AB,51.5333608,-0.12221597
42 Selborne Road-London-E17 7JR,51.583618,-0.0223932
Queen Victoria Street-London-EC4V 4DD,51.51023921,-0.10327176
417 Brixton Road-London-SW9 8HE,51.4630531,-0.1145677
125 Old Broad Street-London-EC2N 1DW,51.51474119,-0.08607208
21 Crown Passage-London-SW1Y 6PP,51.5057851,-0.13803
15 Theobalds Road-London-WC1X 8SL,51.52039,-0.1170943
Kingsland High Street-London-E8 2JS,51.5472836,-0.07575948
2A Southwark Bridge Road-London-SE1 9HA,51.50805678,-0.09502452
Orchard Street-London-W1H 6HJ,51.51505727,-0.15461801
70 Chiswell Street-London-EC1Y 4AB,51.5205175,-0.0894169
1 Three Quays Walk-London-EC3R 6AH,51.50818412,-0.07930151
25 Saint Mary Axe-London-EC3A 8AA,51.5147271,-0.08100323
Old Brompton Road-London-SW7 2NB,51.49349409,-0.17424993
24 Wigmore Street-London-W1U 2RJ,51.5167416,-0.147475
81 Piccadilly-London-W1J 8HY,51.5066547,-0.1435076
47 Great Peter Street-London-SW1P 3LT,51.4968357,-0.1291979
1 Great Tower Street-London-EC3R 5AA,51.510212,-0.0825844
Retail Unit 2 Regent Street-London-SW1Y 4PE,51.5082595,-0.132851
Euston Road-London-N1C 4QL,51.531427,-0.126133
Tavistock Square-London-WC1H 9LT,51.5254626,-0.1280377
51 Borough High Street-London-SE1 1NB,51.5047554,-0.0897945
192 Bishopsgate-London-EC2M 4NR,51.5179108,-0.0797849
